,TIME,EVENT,JOB NAME,DURATION,OUTCOME,START TIME,END TIME
5,2018-04-01 00:02:21,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-01 00:01:06,2018-04-01 00:02:21
422,2018-04-01 06:02:13,STOP,TOUHJ081,0 days 02:00:47.000000000,Successful,2018-04-01 04:01:26,2018-04-01 06:02:13
1838,2018-04-02 20:35:47,STOP,TOUHJ010,0 days 00:05:08.000000000,Successful,2018-04-02 20:30:39,2018-04-02 20:35:47
1878,2018-04-02 20:44:11,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-02 20:43:54,2018-04-02 20:44:11
2054,2018-04-03 00:46:46,STOP,TOUHJ029,0 days 04:02:34.000000000,Successful,2018-04-02 20:44:12,2018-04-03 00:46:46
2063,2018-04-03 00:48:23,STOP,TOUHJ050,0 days 00:01:14.000000000,Successful,2018-04-03 00:47:09,2018-04-03 00:48:23
2120,2018-04-03 02:24:58,STOP,TOUHJ011,0 days 01:38:09.000000000,Successful,2018-04-03 00:46:49,2018-04-03 02:24:58
2466,2018-04-03 05:36:12,STOP,TOUHJ081,0 days 03:10:08.000000000,Successful,2018-04-03 02:26:04,2018-04-03 05:36:12
3510,2018-04-03 20:33:39,STOP,TOUHJ010,0 days 00:03:01.000000000,Successful,2018-04-03 20:30:38,2018-04-03 20:33:39
3546,2018-04-03 20:38:48,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-03 20:38:31,2018-04-03 20:38:48
3726,2018-04-04 00:50:03,STOP,TOUHJ029,0 days 04:11:14.000000000,Successful,2018-04-03 20:38:49,2018-04-04 00:50:03
3736,2018-04-04 00:51:39,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-04 00:50:24,2018-04-04 00:51:39
3824,2018-04-04 02:35:54,STOP,TOUHJ011,0 days 01:45:47.000000000,Successful,2018-04-04 00:50:07,2018-04-04 02:35:54
4089,2018-04-04 05:00:14,STOP,TOUHJ081,0 days 02:22:43.000000000,Successful,2018-04-04 02:37:31,2018-04-04 05:00:14
5195,2018-04-04 20:33:47,STOP,TOUHJ010,0 days 00:03:01.000000000,Successful,2018-04-04 20:30:46,2018-04-04 20:33:47
5231,2018-04-04 20:37:49,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-04 20:37:33,2018-04-04 20:37:49
5392,2018-04-05 00:03:10,STOP,TOUHJ029,0 days 03:25:19.000000000,Successful,2018-04-04 20:37:51,2018-04-05 00:03:10
5405,2018-04-05 00:05:50,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-05 00:03:30,2018-04-05 00:05:50
5489,2018-04-05 02:10:35,STOP,TOUHJ011,0 days 02:07:22.000000000,Successful,2018-04-05 00:03:13,2018-04-05 02:10:35
5865,2018-04-05 04:15:58,STOP,TOUHJ081,0 days 02:04:24.000000000,Successful,2018-04-05 02:11:34,2018-04-05 04:15:58
6780,2018-04-05 20:33:44,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-05 20:30:46,2018-04-05 20:33:44
6816,2018-04-05 20:37:47,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-05 20:37:31,2018-04-05 20:37:47
6958,2018-04-06 00:00:03,STOP,TOUHJ029,0 days 03:22:14.000000000,Successful,2018-04-05 20:37:49,2018-04-06 00:00:03
6974,2018-04-06 00:02:21,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-06 00:01:05,2018-04-06 00:02:21
7050,2018-04-06 01:44:59,STOP,TOUHJ011,0 days 01:44:33.000000000,Successful,2018-04-06 00:00:26,2018-04-06 01:44:59
7408,2018-04-06 03:41:58,STOP,TOUHJ081,0 days 01:56:01.000000000,Successful,2018-04-06 01:45:57,2018-04-06 03:41:58
8298,2018-04-06 20:33:46,STOP,TOUHJ010,0 days 00:02:57.000000000,Successful,2018-04-06 20:30:49,2018-04-06 20:33:46
8334,2018-04-06 20:37:50,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-06 20:37:33,2018-04-06 20:37:50
8438,2018-04-06 23:53:27,STOP,TOUHJ029,0 days 03:15:34.000000000,Successful,2018-04-06 20:37:53,2018-04-06 23:53:27
8455,2018-04-07 00:02:22,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-07 00:01:06,2018-04-07 00:02:22
8506,2018-04-07 01:16:18,STOP,TOUHJ011,0 days 01:22:48.000000000,Successful,2018-04-06 23:53:30,2018-04-07 01:16:18
8835,2018-04-07 03:13:01,STOP,TOUHJ081,0 days 01:55:46.000000000,Successful,2018-04-07 01:17:15,2018-04-07 03:13:01
9308,2018-04-07 20:33:33,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-07 20:30:35,2018-04-07 20:33:33
9344,2018-04-07 20:39:48,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-07 20:39:31,2018-04-07 20:39:48
9431,2018-04-08 00:23:59,STOP,TOUHJ029,0 days 03:44:09.000000000,Successful,2018-04-07 20:39:50,2018-04-08 00:23:59
9440,2018-04-08 00:25:37,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-08 00:24:21,2018-04-08 00:25:37
9496,2018-04-08 02:37:51,STOP,TOUHJ011,0 days 02:13:48.000000000,Successful,2018-04-08 00:24:03,2018-04-08 02:37:51
9686,2018-04-08 04:36:00,STOP,TOUHJ081,0 days 01:56:52.000000000,Successful,2018-04-08 02:39:08,2018-04-08 04:36:00
11087,2018-04-09 20:33:41,STOP,TOUHJ010,0 days 00:03:00.000000000,Successful,2018-04-09 20:30:41,2018-04-09 20:33:41
11123,2018-04-09 20:38:49,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-09 20:38:33,2018-04-09 20:38:49
11257,2018-04-09 23:39:17,STOP,TOUHJ029,0 days 03:00:27.000000000,Successful,2018-04-09 20:38:50,2018-04-09 23:39:17
11285,2018-04-10 00:02:21,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-10 00:01:05,2018-04-10 00:02:21
11345,2018-04-10 01:03:13,STOP,TOUHJ011,0 days 01:23:53.000000000,Successful,2018-04-09 23:39:20,2018-04-10 01:03:13
11625,2018-04-10 02:56:50,STOP,TOUHJ081,0 days 01:52:45.000000000,Successful,2018-04-10 01:04:05,2018-04-10 02:56:50
12625,2018-04-10 20:33:35,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-10 20:30:37,2018-04-10 20:33:35
12661,2018-04-10 20:38:44,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-10 20:38:28,2018-04-10 20:38:44
12799,2018-04-10 23:54:20,STOP,TOUHJ029,0 days 03:15:33.000000000,Successful,2018-04-10 20:38:47,2018-04-10 23:54:20
12821,2018-04-11 00:03:25,STOP,TOUHJ050,0 days 00:02:21.000000000,Successful,2018-04-11 00:01:04,2018-04-11 00:03:25
12887,2018-04-11 01:25:52,STOP,TOUHJ011,0 days 01:31:30.000000000,Successful,2018-04-10 23:54:22,2018-04-11 01:25:52
13242,2018-04-11 03:27:21,STOP,TOUHJ081,0 days 02:00:36.000000000,Successful,2018-04-11 01:26:45,2018-04-11 03:27:21
14177,2018-04-11 20:33:36,STOP,TOUHJ010,0 days 00:02:57.000000000,Successful,2018-04-11 20:30:39,2018-04-11 20:33:36
14213,2018-04-11 20:37:39,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-11 20:37:22,2018-04-11 20:37:39
14351,2018-04-11 23:50:00,STOP,TOUHJ029,0 days 03:12:20.000000000,Successful,2018-04-11 20:37:40,2018-04-11 23:50:00
14374,2018-04-12 00:02:19,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-12 00:01:04,2018-04-12 00:02:19
14443,2018-04-12 01:35:44,STOP,TOUHJ011,0 days 01:45:40.000000000,Successful,2018-04-11 23:50:04,2018-04-12 01:35:44
14798,2018-04-12 03:30:59,STOP,TOUHJ081,0 days 01:54:24.000000000,Successful,2018-04-12 01:36:35,2018-04-12 03:30:59
15715,2018-04-12 20:33:41,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-12 20:30:43,2018-04-12 20:33:41
15751,2018-04-12 20:38:49,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-12 20:38:33,2018-04-12 20:38:49
15889,2018-04-12 23:45:45,STOP,TOUHJ029,0 days 03:06:55.000000000,Successful,2018-04-12 20:38:50,2018-04-12 23:45:45
15912,2018-04-13 00:02:21,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-13 00:01:05,2018-04-13 00:02:21
15981,2018-04-13 01:33:38,STOP,TOUHJ011,0 days 01:47:50.000000000,Successful,2018-04-12 23:45:48,2018-04-13 01:33:38
16336,2018-04-13 03:30:15,STOP,TOUHJ081,0 days 01:55:49.000000000,Successful,2018-04-13 01:34:26,2018-04-13 03:30:15
17215,2018-04-13 20:33:43,STOP,TOUHJ010,0 days 00:02:57.000000000,Successful,2018-04-13 20:30:46,2018-04-13 20:33:43
17251,2018-04-13 20:38:50,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-13 20:38:34,2018-04-13 20:38:50
17349,2018-04-13 23:49:03,STOP,TOUHJ029,0 days 03:10:12.000000000,Successful,2018-04-13 20:38:51,2018-04-13 23:49:03
17368,2018-04-14 00:02:26,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-14 00:01:10,2018-04-14 00:02:26
17421,2018-04-14 01:39:09,STOP,TOUHJ011,0 days 01:50:03.000000000,Successful,2018-04-13 23:49:06,2018-04-14 01:39:09
17756,2018-04-14 03:34:08,STOP,TOUHJ081,0 days 01:54:04.000000000,Successful,2018-04-14 01:40:04,2018-04-14 03:34:08
18223,2018-04-14 20:32:28,STOP,TOUHJ010,0 days 00:01:54.000000000,Successful,2018-04-14 20:30:34,2018-04-14 20:32:28
18259,2018-04-14 20:38:41,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-14 20:38:24,2018-04-14 20:38:41
18337,2018-04-14 23:46:42,STOP,TOUHJ029,0 days 03:07:59.000000000,Successful,2018-04-14 20:38:43,2018-04-14 23:46:42
18356,2018-04-15 00:02:20,STOP,TOUHJ050,0 days 00:01:14.000000000,Successful,2018-04-15 00:01:06,2018-04-15 00:02:20
18403,2018-04-15 01:41:02,STOP,TOUHJ011,0 days 01:54:18.000000000,Successful,2018-04-14 23:46:44,2018-04-15 01:41:02
18591,2018-04-15 03:44:52,STOP,TOUHJ081,0 days 02:02:54.000000000,Successful,2018-04-15 01:41:58,2018-04-15 03:44:52
19938,2018-04-16 20:33:39,STOP,TOUHJ010,0 days 00:02:57.000000000,Successful,2018-04-16 20:30:42,2018-04-16 20:33:39
19974,2018-04-16 20:37:43,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-16 20:37:27,2018-04-16 20:37:43
20112,2018-04-16 23:46:47,STOP,TOUHJ029,0 days 03:09:01.000000000,Successful,2018-04-16 20:37:46,2018-04-16 23:46:47
20135,2018-04-17 00:02:28,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-17 00:01:13,2018-04-17 00:02:28
20196,2018-04-17 01:10:52,STOP,TOUHJ011,0 days 01:24:01.000000000,Successful,2018-04-16 23:46:51,2018-04-17 01:10:52
20441,2018-04-17 03:06:40,STOP,TOUHJ081,0 days 01:54:47.000000000,Successful,2018-04-17 01:11:53,2018-04-17 03:06:40
21486,2018-04-17 20:34:42,STOP,TOUHJ010,0 days 00:04:02.000000000,Successful,2018-04-17 20:30:40,2018-04-17 20:34:42
21522,2018-04-17 20:38:47,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-17 20:38:31,2018-04-17 20:38:47
21660,2018-04-17 23:57:51,STOP,TOUHJ029,0 days 03:19:02.000000000,Successful,2018-04-17 20:38:49,2018-04-17 23:57:51
21680,2018-04-18 00:02:21,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-18 00:01:06,2018-04-18 00:02:21
21752,2018-04-18 01:33:48,STOP,TOUHJ011,0 days 01:35:53.000000000,Successful,2018-04-17 23:57:55,2018-04-18 01:33:48
22108,2018-04-18 03:34:12,STOP,TOUHJ081,0 days 01:59:26.000000000,Successful,2018-04-18 01:34:46,2018-04-18 03:34:12
23030,2018-04-18 20:33:42,STOP,TOUHJ010,0 days 00:02:56.000000000,Successful,2018-04-18 20:30:46,2018-04-18 20:33:42
23066,2018-04-18 20:37:48,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-18 20:37:31,2018-04-18 20:37:48
23204,2018-04-18 23:54:32,STOP,TOUHJ029,0 days 03:16:43.000000000,Successful,2018-04-18 20:37:49,2018-04-18 23:54:32
23224,2018-04-19 00:03:26,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-19 00:01:06,2018-04-19 00:03:26
23300,2018-04-19 01:44:34,STOP,TOUHJ011,0 days 01:49:58.000000000,Successful,2018-04-18 23:54:36,2018-04-19 01:44:34
23658,2018-04-19 03:41:59,STOP,TOUHJ081,0 days 01:56:29.000000000,Successful,2018-04-19 01:45:30,2018-04-19 03:41:59
24582,2018-04-19 20:33:35,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-19 20:30:37,2018-04-19 20:33:35
24618,2018-04-19 20:38:46,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-19 20:38:29,2018-04-19 20:38:46
24756,2018-04-19 23:49:08,STOP,TOUHJ029,0 days 03:10:20.000000000,Successful,2018-04-19 20:38:48,2018-04-19 23:49:08
24779,2018-04-20 00:03:24,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-20 00:01:04,2018-04-20 00:03:24
24852,2018-04-20 01:40:13,STOP,TOUHJ011,0 days 01:51:01.000000000,Successful,2018-04-19 23:49:12,2018-04-20 01:40:13
25210,2018-04-20 03:40:08,STOP,TOUHJ081,0 days 01:59:00.000000000,Successful,2018-04-20 01:41:08,2018-04-20 03:40:08
26218,2018-04-20 20:33:38,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-20 20:30:40,2018-04-20 20:33:38
26254,2018-04-20 20:38:46,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-20 20:38:29,2018-04-20 20:38:46
26398,2018-04-20 23:49:07,STOP,TOUHJ029,0 days 03:10:19.000000000,Successful,2018-04-20 20:38:48,2018-04-20 23:49:07
26417,2018-04-21 00:03:37,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-21 00:01:17,2018-04-21 00:03:37
26466,2018-04-21 01:12:08,STOP,TOUHJ011,0 days 01:22:57.000000000,Successful,2018-04-20 23:49:11,2018-04-21 01:12:08
26780,2018-04-21 03:04:05,STOP,TOUHJ081,0 days 01:51:02.000000000,Successful,2018-04-21 01:13:03,2018-04-21 03:04:05
27280,2018-04-21 20:33:33,STOP,TOUHJ010,0 days 00:03:01.000000000,Successful,2018-04-21 20:30:32,2018-04-21 20:33:33
27316,2018-04-21 20:38:43,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-21 20:38:26,2018-04-21 20:38:43
27394,2018-04-21 23:52:12,STOP,TOUHJ029,0 days 03:13:28.000000000,Successful,2018-04-21 20:38:44,2018-04-21 23:52:12
27413,2018-04-22 00:02:23,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-22 00:01:07,2018-04-22 00:02:23
27460,2018-04-22 01:29:11,STOP,TOUHJ011,0 days 01:36:57.000000000,Successful,2018-04-21 23:52:14,2018-04-22 01:29:11
27646,2018-04-22 03:30:36,STOP,TOUHJ081,0 days 02:00:25.000000000,Successful,2018-04-22 01:30:11,2018-04-22 03:30:36
28997,2018-04-23 20:33:38,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-23 20:30:40,2018-04-23 20:33:38
29033,2018-04-23 20:38:47,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-23 20:38:30,2018-04-23 20:38:47
29171,2018-04-23 23:54:24,STOP,TOUHJ029,0 days 03:15:36.000000000,Successful,2018-04-23 20:38:48,2018-04-23 23:54:24
29191,2018-04-24 00:02:20,STOP,TOUHJ050,0 days 00:01:14.000000000,Successful,2018-04-24 00:01:06,2018-04-24 00:02:20
29263,2018-04-24 01:29:18,STOP,TOUHJ011,0 days 01:34:51.000000000,Successful,2018-04-23 23:54:27,2018-04-24 01:29:18
29614,2018-04-24 03:27:04,STOP,TOUHJ081,0 days 01:56:39.000000000,Successful,2018-04-24 01:30:25,2018-04-24 03:27:04
30535,2018-04-24 20:33:39,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-24 20:30:41,2018-04-24 20:33:39
30571,2018-04-24 20:38:47,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-24 20:38:31,2018-04-24 20:38:47
30709,2018-04-24 23:54:19,STOP,TOUHJ029,0 days 03:15:30.000000000,Successful,2018-04-24 20:38:49,2018-04-24 23:54:19
30729,2018-04-25 00:02:22,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-25 00:01:07,2018-04-25 00:02:22
30800,2018-04-25 01:29:08,STOP,TOUHJ011,0 days 01:34:45.000000000,Successful,2018-04-24 23:54:23,2018-04-25 01:29:08
31156,2018-04-25 03:30:01,STOP,TOUHJ081,0 days 01:59:59.000000000,Successful,2018-04-25 01:30:02,2018-04-25 03:30:01
32111,2018-04-25 20:33:41,STOP,TOUHJ010,0 days 00:02:57.000000000,Successful,2018-04-25 20:30:44,2018-04-25 20:33:41
32147,2018-04-25 20:38:47,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-25 20:38:30,2018-04-25 20:38:47
32285,2018-04-25 23:42:31,STOP,TOUHJ029,0 days 03:03:41.000000000,Successful,2018-04-25 20:38:50,2018-04-25 23:42:31
32308,2018-04-26 00:02:21,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-26 00:01:06,2018-04-26 00:02:21
32373,2018-04-26 01:22:48,STOP,TOUHJ011,0 days 01:40:14.000000000,Successful,2018-04-25 23:42:34,2018-04-26 01:22:48
32723,2018-04-26 03:18:59,STOP,TOUHJ081,0 days 01:55:18.000000000,Successful,2018-04-26 01:23:41,2018-04-26 03:18:59
33757,2018-04-26 20:34:43,STOP,TOUHJ010,0 days 00:04:02.000000000,Successful,2018-04-26 20:30:41,2018-04-26 20:34:43
33793,2018-04-26 20:38:44,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-26 20:38:28,2018-04-26 20:38:44
33931,2018-04-26 23:47:41,STOP,TOUHJ029,0 days 03:08:54.000000000,Successful,2018-04-26 20:38:47,2018-04-26 23:47:41
33954,2018-04-27 00:02:20,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-27 00:01:05,2018-04-27 00:02:20
34023,2018-04-27 01:37:40,STOP,TOUHJ011,0 days 01:49:56.000000000,Successful,2018-04-26 23:47:44,2018-04-27 01:37:40
34379,2018-04-27 03:35:09,STOP,TOUHJ081,0 days 01:56:33.000000000,Successful,2018-04-27 01:38:36,2018-04-27 03:35:09
35297,2018-04-27 20:33:43,STOP,TOUHJ010,0 days 00:03:00.000000000,Successful,2018-04-27 20:30:43,2018-04-27 20:33:43
35333,2018-04-27 20:38:48,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-27 20:38:32,2018-04-27 20:38:48
35471,2018-04-27 23:40:22,STOP,TOUHJ029,0 days 03:01:32.000000000,Successful,2018-04-27 20:38:50,2018-04-27 23:40:22
35491,2018-04-28 00:02:21,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-28 00:01:05,2018-04-28 00:02:21
35539,2018-04-28 01:12:58,STOP,TOUHJ011,0 days 01:32:34.000000000,Successful,2018-04-27 23:40:24,2018-04-28 01:12:58
35853,2018-04-28 03:03:57,STOP,TOUHJ081,0 days 01:50:05.000000000,Successful,2018-04-28 01:13:52,2018-04-28 03:03:57
36331,2018-04-28 20:32:36,STOP,TOUHJ010,0 days 00:01:52.000000000,Successful,2018-04-28 20:30:44,2018-04-28 20:32:36
36367,2018-04-28 20:38:49,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-28 20:38:32,2018-04-28 20:38:49
36445,2018-04-28 23:30:29,STOP,TOUHJ029,0 days 02:51:37.000000000,Successful,2018-04-28 20:38:52,2018-04-28 23:30:29
36465,2018-04-29 00:02:20,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-29 00:01:05,2018-04-29 00:02:20
36511,2018-04-29 01:41:12,STOP,TOUHJ011,0 days 02:10:39.000000000,Successful,2018-04-28 23:30:33,2018-04-29 01:41:12
36695,2018-04-29 03:32:38,STOP,TOUHJ081,0 days 01:50:27.000000000,Successful,2018-04-29 01:42:11,2018-04-29 03:32:38
38057,2018-04-30 20:33:47,STOP,TOUHJ010,0 days 00:03:00.000000000,Successful,2018-04-30 20:30:47,2018-04-30 20:33:47
38098,2018-04-30 20:43:22,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-30 20:43:06,2018-04-30 20:43:22
38235,2018-04-30 23:52:41,STOP,TOUHJ029,0 days 03:09:17.000000000,Successful,2018-04-30 20:43:24,2018-04-30 23:52:41
38251,2018-05-01 03:50:04,STOP,TOUHJ011,0 days 03:57:20.000000000,Successful,2018-04-30 23:52:44,2018-05-01 03:50:04
